"","y","x1","x2","x3","x4"
"1",55.6551100273926,5.06066810685104,4.63999855876953,6.27472132738611,1
"2",49.7959563718128,4.44114769838412,4.9909857647485,6.21920489974203,1
"3",46.9593646703312,3.98003073620621,5.77979474937421,5.97729201949576,1
"5",46.1508905984474,3.94768705920967,4.65869065387869,5.3732348732868,1
"6",41.9127233349796,3.54145197841147,4.92684074669425,5.60564727929165,1
"7",50.6916120802107,4.57862090709617,6.10222548238927,7.23192648329236,1
"8",55.5699283674526,4.88063413085423,5.89554815307145,6.37186033861889,1
"9",43.1912506672947,3.86649291888707,4.51569870604257,6.15839002050231,1
"10",51.6855309151154,4.66199881184051,5.88322217265258,7.02258099194353,1
"11",63.1383148843165,5.61981864239265,5.58204502584177,6.31824629784424,1
"12",63.8471282594838,5.72968104209272,6.08462804519463,6.84981683732927,1
"13",27.704648285508,2.57725406303097,3.27220610775916,6.36067504054057,1
"14",40.914131905883,3.51997711285616,3.47791037820756,4.89576903411255,1
"16",39.5395597400054,3.25813714472963,4.27892589110245,4.93348785087901,1
"17",45.3080530682023,4.13242969632855,4.72226279839223,6.56515188385589,1
"18",44.7544952127796,4.0667000739271,6.86745929912457,8.09974510655571,1
"19",33.0986083914614,2.53876571031078,3.19570989705432,3.8489795696186,1
"20",27.4232062842324,2.2013938413331,3.57715904995935,5.14026072117997,1
"21",45.6730210968689,3.77012502255706,5.08821082475146,5.12189004645641,1
"22",38.0493896004888,3.22708790273589,4.59536768846618,5.66168363764053,1
"23",64.2835403959156,5.65983079842415,4.86718038716637,5.57425572953026,1
"24",53.5242629681757,4.38636999569233,5.07166479006839,4.51311751347459,1
"25",51.0255044871307,4.44232867123393,4.60673027184098,5.45282949330391,1
"26",47.023546361377,3.91974450618538,5.59091940559981,5.55660392321759,1
"27",36.9929498963561,3.6525206941658,5.00357164575809,8.25200569821097,1
"28",35.6979929092568,2.84403156550457,5.24579970407112,5.5494768894651,1
"29",43.236374690515,4.00698025550888,4.93883576269389,7.053157781271,1
"30",59.8043718070001,5.019035619783,5.12751507659307,4.73643336413739,1
"31",27.367802177811,2.18410156328508,5.34323350091166,6.49795542202651,1
"32",28.4186488458529,2.44741029036952,3.11961691528187,5.38579311800444,1
"33",50.318214018794,4.42731269858708,4.18668043329048,5.39351406624483,1
"34",35.7568266491292,3.24721877127567,4.12337401159052,6.37314779751929,1
"35",31.032073005459,2.54296698370759,4.39543781508252,5.63950338858135,1
"36",42.3540820599094,3.49448177640891,4.93894249064105,5.23135721672286,1
"37",45.7705625907472,4.02386910310007,4.00047434198185,5.3980856804705,1
"38",49.3760875659282,4.02395637269855,5.92681416844907,5.26481093599341,1
"39",56.1293700334863,4.98204160310916,5.87433984913714,6.57021794977343,1
"40",26.887025683389,2.18093448519062,1.97319422530901,4.07887478298042,1
"41",47.0323652975249,4.05551884539679,4.19703136334036,5.1496183222089,1
"42",35.0374693898307,2.72697208521337,5.00070912505796,5.15721745674124,1
